12,8.4,0,3.6,70,12,0,6,0.7,0,0.3,6.5
12,7.8,0,4.2,82,0,0,6,0.65,0,0.35,6
12,7.8,0,4.2,76,6,0,6,0.65,0,0.35,6
12,7.8,0,4.2,70,12,0,6,0.65,0,0.35,6.4
12,6,0,6,82,0,0,6,0.5,0,0.5,4.9
12,6,0,6,79,3,0,6,0.5,0,0.5,4.3
12,6,0,6,76,6,0,6,0.5,0,0.5,8
12,6,0,6,73,9,0,6,0.5,0,0.5,5.5
12,6,0,6,70,12,0,6,0.5,0,0.5,4.8
12,6,0,6,58,24,0,6,0.5,0,0.5,4.4
12,12,0,0,82,0,0,6,1,0,0,10.3
12,9.6,0,2.4,82,0,0,6,0.8,0,0.2,8.2
12,9.6,2.4,0,82,0,0,6,0.8,0.2,0,8.7
17,0,0,17,78,0,0,6,0,0,1,4.8
17,0,0,17,77.5,0,0.5,6,0,0,1,5.4
17,0,0,17,77,0,1,6,0,0,1,4.7
17,0,0,17,76.5,0,1.5,6,0,0,1,4.6
17,0,0,17,76,0,2,6,0,0,1,3.9
12,0,4.2,7.8,82,0,0,6,0,0.35,0.65,2.3
13.8,0,4.83,8.97,80.5,0,0,5.7,0,0.35,0.65,3.55
15.73,0,5.51,10.22,78.7,0,0,5.62,0,0.350286078,0.649713922,4.05
17.58,0,6.15,11.43,76.9,0,0,5.49,0,0.349829352,0.650170648,4.85
19.35,0,6.77,12.58,75.3,0,0,5.38,0,0.349870801,0.650129199,5
21.05,0,7.37,13.68,73.7,0,0,5.26,0,0.350118765,0.649881235,5.57
12,12,0,0,82,0,0,6,1,0,0,8.3
12,9.6,0,2.4,82,0,0,6,0.8,0,0.2,10
12,6,0,6,76.14,5.86,0,6,0.5,0,0.5,8
12,9.6,0,2.4,70.26,11.71,0,6,0.8,0,0.2,7.8
12,6,0,6,82,0,0,6,0.5,0,0.5,4.9
10,10,0,0,84,0,0,6,1,0,0,5.5
10,9.5,0.5,0,84,0,0,6,0.95,0.05,0,5.6
10,9,1,0,84,0,0,6,0.9,0.1,0,5.9
10,8,2,0,84,0,0,6,0.8,0.2,0,5.2
10,7,3,0,84,0,0,6,0.7,0.3,0,4.7
10,6,4,0,84,0,0,6,0.6,0.4,0,4
10,10,0,0,84,0,0,6,1,0,0,5.5
10,9,0,1,84,0,0,6,0.9,0,0.1,4.4
10,8,0,2,84,0,0,6,0.8,0,0.2,4.9
10,7,0,3,84,0,0,6,0.7,0,0.3,4.3
10,6,0,4,84,0,0,6,0.6,0,0.4,3.1
10,10,0,0,84,0,0,6,1,0,0,5.5
10,9,0.5,0.5,84,0,0,6,0.9,0.05,0.05,5.8
10,8,1,1,84,0,0,6,0.8,0.1,0.1,4.8
10,7,1.5,1.5,84,0,0,6,0.7,0.15,0.15,4.5
10,6,2,2,84,0,0,6,0.6,0.2,0.2,3.8
10,5,2.5,2.5,84,0,0,6,0.5,0.25,0.25,3.4
10,3,3.5,3.5,84,0,0,6,0.3,0.35,0.35,2.9
8.12,8.12,0,0,85.24,0,0.01,5.64,1,0,0,6.75
8.12,8.12,0,0,83.26,2,0.01,5.64,1,0,0,6.5
8.12,8.12,0,0,81.28,4,0.01,5.64,1,0,0,6.9
8.12,8.12,0,0,79.3,6,0.01,5.64,1,0,0,6.9
8.12,8.12,0,0,77.32,8,0.01,5.64,1,0,0,7.1
8.12,8.12,0,0,75.34,10,0.01,5.64,1,0,0,6.9
12.3,12.3,0,0,81.7,0,0,6,1,0,0,7.54
12.3,12.3,0,0,81.4,0,0.3,6,1,0,0,8.04
12.3,12.3,0,0,81.1,0,0.6,6,1,0,0,9.04
12.3,12.3,0,0,80.8,0,0.9,6,1,0,0,9.17
12.3,12.3,0,0,80.5,0,1.2,6,1,0,0,8.16
12.3,12.3,0,0,80.2,0,1.5,6,1,0,0,7.16
12.3,12.3,0,0,79.9,0,1.8,6,1,0,0,6.91
17,0,0,17,78,0,0,6,0,0,1,6.2
14,0,0,14,79,0,0,7,0,0,1,5.4
15,0,0,15,77,0,0,8,0,0,1,5.8
18,0,0,18,78,0,0,4,0,0,1,5.6
23,0,0,23,71,0,0,6,0,0,1,7.1
